class,kind,type,qualifier,severity,line,procedure,procedure_id,file,trace,key,qualifier_tags,hash,bug_id,always_report,advice
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _hour of an atomic property at line 163, column 5. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,163,QredoTime_compare:,QredoTime_compare:{instance}.3d27aa5c742b1ae1f7074315b8658a7a,LinguaFranca/QredoDateTime.m,"{""trace"":[{""level"":0,""filename"":""LinguaFranca/QredoDateTime.m"",""line_number"":163,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>163</line></qualifier_tags>,1012076315,971,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _minute of an atomic property at line 164, column 5. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,164,QredoTime_compare:,QredoTime_compare:{instance}.3d27aa5c742b1ae1f7074315b8658a7a,LinguaFranca/QredoDateTime.m,"{""trace"":[{""level"":0,""filename"":""LinguaFranca/QredoDateTime.m"",""line_number"":164,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>164</line></qualifier_tags>,1012076315,974,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _second of an atomic property at line 165, column 5. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,165,QredoTime_compare:,QredoTime_compare:{instance}.3d27aa5c742b1ae1f7074315b8658a7a,LinguaFranca/QredoDateTime.m,"{""trace"":[{""level"":0,""filename"":""LinguaFranca/QredoDateTime.m"",""line_number"":165,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>165</line></qualifier_tags>,1012076315,972,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _milli of an atomic property at line 166, column 5. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,166,QredoTime_compare:,QredoTime_compare:{instance}.3d27aa5c742b1ae1f7074315b8658a7a,LinguaFranca/QredoDateTime.m,"{""trace"":[{""level"":0,""filename"":""LinguaFranca/QredoDateTime.m"",""line_number"":166,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>166</line></qualifier_tags>,1012076315,973,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _millisSinceMidnight of an atomic property at line 185, column 9. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,185,QredoTime_isEqualToTime:,QredoTime_isEqualToTime:{instance}.0576ca740772d7d732343998a23350ae,LinguaFranca/QredoDateTime.m,"{""trace"":[{""level"":0,""filename"":""LinguaFranca/QredoDateTime.m"",""line_number"":185,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>185</line></qualifier_tags>,111922430,979,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _hour of an atomic property at line 186, column 9. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,186,QredoTime_isEqualToTime:,QredoTime_isEqualToTime:{instance}.0576ca740772d7d732343998a23350ae,LinguaFranca/QredoDateTime.m,"{""trace"":[{""level"":0,""filename"":""LinguaFranca/QredoDateTime.m"",""line_number"":186,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>186</line></qualifier_tags>,111922430,977,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _minute of an atomic property at line 187, column 9. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,187,QredoTime_isEqualToTime:,QredoTime_isEqualToTime:{instance}.0576ca740772d7d732343998a23350ae,LinguaFranca/QredoDateTime.m,"{""trace"":[{""level"":0,""filename"":""LinguaFranca/QredoDateTime.m"",""line_number"":187,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>187</line></qualifier_tags>,111922430,976,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _second of an atomic property at line 188, column 9. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,188,QredoTime_isEqualToTime:,QredoTime_isEqualToTime:{instance}.0576ca740772d7d732343998a23350ae,LinguaFranca/QredoDateTime.m,"{""trace"":[{""level"":0,""filename"":""LinguaFranca/QredoDateTime.m"",""line_number"":188,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>188</line></qualifier_tags>,111922430,975,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _milli of an atomic property at line 189, column 9. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,189,QredoTime_isEqualToTime:,QredoTime_isEqualToTime:{instance}.0576ca740772d7d732343998a23350ae,LinguaFranca/QredoDateTime.m,"{""trace"":[{""level"":0,""filename"":""LinguaFranca/QredoDateTime.m"",""line_number"":189,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>189</line></qualifier_tags>,111922430,978,false,
,WARNING,DIRECT_ATOMIC_PROPERTY_ACCESS,"Direct access to ivar _date of an atomic property at line 258, column 33. Accessing an ivar of an atomic property makes the property nonatomic",MEDIUM,258,QredoDateTime_asDateInTimezone:,QredoDateTime_asDateInTimezone:{instance}.74700c1282dccfc569fdcd94e3053d05,LinguaFranca/QredoDateTime.m,"{""trace"":[{""level"":0,""filename"":""LinguaFranca/QredoDateTime.m"",""line_number"":258,""description"":"""",""node_tags"":[]}]}",173877444,<qualifier_tags><line>258</line></qualifier_tags>,1023023932,802,false,
