name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace
"AsyncReadPacket_initWithData:startOffset:maxLength:timeout:readLength:terminator:tag:","AsyncReadPacket_initWithData:startOffset:maxLength:timeout:readLength:terminator:tag:{instance}.2c94a30533358e4cea99adcab0a662ad",3,0,NONE,485,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,223,0,N,"struct objc_object *AsyncReadPacket_initWithData:startOffset:maxLength:timeout:readLength:terminator:tag:(class AsyncReadPacket *self, class NSMutableData *d, unsigned long s, unsigned long m, double t, unsigned long l, class NSData *e, long i)",0,0.00,0.00,0,0,223 231 233 235 236 237 238 242 243 245 247 248 249 252 253 254 255 256 257 259 260
"AsyncReadPacket_prebufferReadLengthForTerm","AsyncReadPacket_prebufferReadLengthForTerm{instance}.2013f02d53607b130512b5ed0b29a1dc",2,0,NONE,460,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,522,0,N,"unsigned long AsyncReadPacket_prebufferReadLengthForTerm(class AsyncReadPacket *self)",0,0.00,0.00,0,0,522 524 526 528 533 539 541 542 544 551 552
"AsyncReadPacket_readLengthForNonTerm","AsyncReadPacket_readLengthForNonTerm{instance}.4272f6e09e0c505c54405440b6753ccc",3,0,NONE,532,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,266,0,N,"unsigned long AsyncReadPacket_readLengthForNonTerm(class AsyncReadPacket *self)",0,0.00,0.00,0,0,266 268 270 274 283 285 290 296 298 299 301 308 310
"AsyncReadPacket_readLengthForTermWithPreBuffer:found:","AsyncReadPacket_readLengthForTermWithPreBuffer:found:{instance}.dd8853d5304034cd372e34df9f9d2e12",0,0,NONE,25,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,400,0,N,"unsigned long AsyncReadPacket_readLengthForTermWithPreBuffer:found:(class AsyncReadPacket *self, class NSData *preBuffer, _Bool *foundPtr)",0,0.00,0.00,0,0,
"AsyncReadPacket_readLengthForTerm","AsyncReadPacket_readLengthForTerm{instance}.3d151ef789e93e1b0649c68b052a69df",0,0,SYMOPS TIMEOUT (334),334,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,318,0,N,"unsigned long AsyncReadPacket_readLengthForTerm(class AsyncReadPacket *self)",0,0.00,0.00,0,0,
"AsyncReadPacket_searchForTermAfterPreBuffering:","AsyncReadPacket_searchForTermAfterPreBuffering:{instance}.f35ebaf75fff2ef7494199848b4adb31",0,0,SYMOPS TIMEOUT (334),334,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,563,0,N,"long AsyncReadPacket_searchForTermAfterPreBuffering:(class AsyncReadPacket *self, unsigned long numBytes)",0,0.00,0.00,0,0,
"AsyncReceivePacket_initWithTimeout:tag:","AsyncReceivePacket_initWithTimeout:tag:{instance}.e4ba1b447805d2a7f1d784a1e03e2193",1,0,NONE,90,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncUdpSocket.m,175,0,N,"struct objc_object *AsyncReceivePacket_initWithTimeout:tag:(class AsyncReceivePacket *self, double t, long i)",0,0.00,0.00,0,0,175 177 179 180 182 183 184 186 187
"AsyncSendPacket_initWithData:address:timeout:tag:","AsyncSendPacket_initWithData:address:timeout:tag:{instance}.f63932616039cbd9efd347bee3a01cf5",1,0,NONE,96,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncUdpSocket.m,140,0,N,"struct objc_object *AsyncSendPacket_initWithData:address:timeout:tag:(class AsyncSendPacket *self, class NSData *d, class NSData *a, double t, long i)",0,0.00,0.00,0,0,140 142 144 145 146 147 149 150
"AsyncSocket_CRData","AsyncSocket_CRData{class}.bf406228e7158087d3834c8e3d3da414",1,0,NONE,16,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,4298,0,N,"class NSData *AsyncSocket_CRData()",0,0.00,0.00,0,0,4298 4300 4301
"AsyncSocket_CRLFData","AsyncSocket_CRLFData{class}.1f0326aea740c4ff789a4564c189bb73",1,0,NONE,16,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,4293,0,N,"class NSData *AsyncSocket_CRLFData()",0,0.00,0.00,0,0,4293 4295 4296
"AsyncSocket_LFData","AsyncSocket_LFData{class}.b48f136146a5a9ca0a12058f8b4af101",1,0,NONE,16,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,4303,0,N,"class NSData *AsyncSocket_LFData()",0,0.00,0.00,0,0,4303 4305 4306
"AsyncSocket_ZeroData","AsyncSocket_ZeroData{class}.655737bc5b8b090205720fe23933df7e",1,0,NONE,16,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,4308,0,N,"class NSData *AsyncSocket_ZeroData()",0,0.00,0.00,0,0,4308 4310 4311
"AsyncSocket_acceptOnInterface:port:error:","AsyncSocket_acceptOnInterface:port:error:{instance}.1d59388d5f80726644907879d13c5295",0,0,NONE,1,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,1227,0,N,"_Bool AsyncSocket_acceptOnInterface:port:error:(class AsyncSocket *self, class NSString *interface, short port, class NSError **errPtr)",0,0.00,0.00,0,0,
"AsyncSocket_acceptOnPort:error:","AsyncSocket_acceptOnPort:error:{instance}.202fc0205b5c8fc938641957e737efab",1,0,NONE,26,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,1217,0,N,"_Bool AsyncSocket_acceptOnPort:error:(class AsyncSocket *self, short port, class NSError **errPtr)",0,0.00,0.00,0,0,1217 1219 1220
"AsyncSocket_addRunLoopMode:","AsyncSocket_addRunLoopMode:{instance}.ca044d388d4787ae420d069139f17313",0,0,SYMOPS TIMEOUT (334),334,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,1117,0,N,"_Bool AsyncSocket_addRunLoopMode:(class AsyncSocket *self, class NSString *runLoopMode)",0,0.00,0.00,0,0,
"AsyncSocket_areStreamsConnected","AsyncSocket_areStreamsConnected{instance}.f339e1e6aa864d2fbc8ab57883ee7787",3,0,NONE,489,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,3142,0,N,"_Bool AsyncSocket_areStreamsConnected(class AsyncSocket *self)",0,0.00,0.00,0,0,3142 3146 3148 3149 3150 3152 3154 3156 3157 3158 3160 3162 3163
"AsyncSocket_attachSocketsToRunLoop:error:","AsyncSocket_attachSocketsToRunLoop:error:{instance}.dc339b565d5a36f365e8215ceafe0559",5,0,SYMOPS TIMEOUT (334),654,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,1681,0,N,"_Bool AsyncSocket_attachSocketsToRunLoop:error:(class AsyncSocket *self, class NSRunLoop *runLoop, class NSError **errPtr)",0,0.00,0.00,0,0,1681 1686 1688 1690 1691 1694 1696 1697 1700 1701
"AsyncSocket_attachStreamsToRunLoop:error:","AsyncSocket_attachStreamsToRunLoop:error:{instance}.d9fec17f1e7e139b273deadcb9a27036",0,0,SYMOPS TIMEOUT (334),334,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,1908,0,N,"_Bool AsyncSocket_attachStreamsToRunLoop:error:(class AsyncSocket *self, class NSRunLoop *runLoop, class NSError **errPtr)",0,0.00,0.00,0,0,
"AsyncSocket_bindSocketToAddress:error:","AsyncSocket_bindSocketToAddress:error:{instance}.0070f0fc96ce27cb46a7747945056fde",0,0,SYMOPS TIMEOUT (334),334,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,1643,0,N,"_Bool AsyncSocket_bindSocketToAddress:error:(class AsyncSocket *self, class NSData *interfaceAddr, class NSError **errPtr)",0,0.00,0.00,0,0,
"AsyncSocket_canAcceptBytes","AsyncSocket_canAcceptBytes{instance}.35ca4f7ad64db367eed907bfb699b959",1,0,NONE,51,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,3937,0,N,"_Bool AsyncSocket_canAcceptBytes(class AsyncSocket *self)",0,0.00,0.00,0,0,3937 3939 3941 3945 3947
"AsyncSocket_canSafelySetDelegate","AsyncSocket_canSafelySetDelegate{instance}.4516bd5c234e755855bfee0570caf427",2,0,NONE,121,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,806,0,N,"_Bool AsyncSocket_canSafelySetDelegate(class AsyncSocket *self)",0,0.00,0.00,0,0,806 809 812 813
"AsyncSocket_checkForThreadSafety","AsyncSocket_checkForThreadSafety{instance}.027c5553f5da25b88fb5de5d1d285450",2,0,NONE,98,0,Pods/CocoaAsyncSocket/Source/RunLoop/AsyncSocket.m,742,0,N,"void AsyncSocket_checkForThreadSafety(class AsyncSocket *self)",0,0.00,0.00,0,0,742 744 761 762 764
